"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.628702292E0,-6.950672954E-2,-1.721294865E0,1.999938957E0,2.639591452E0
1.638706292E0,1.957422683E-1,-1.549695458E0,1.021861746E0,1.866567030E0
1.648710292E0,4.064463919E-1,-1.356786604E0,2.345973086E-1,1.435654714E0
1.658714292E0,4.018846866E-1,-1.541391827E0,2.771931052E-1,1.616859946E0
1.668718292E0,2.730263793E-1,-8.603667663E-1,-1.169960024E0,1.477694432E0
1.678722292E0,1.523053497E-2,-4.941584274E-1,-1.363402875E0,1.450273050E0
1.688726292E0,-2.654907802E-1,-4.642262381E-1,-1.295846484E0,1.401859289E0
1.698730292E0,-6.075835937E-1,-3.621949562E-1,-9.209066445E-1,1.161211461E0
1.708734292E0,-9.886843523E-1,-2.988266337E-1,-4.461951792E-1,1.125115213E0
1.718738292E0,-1.218022090E0,-3.561901581E-1,-1.874716741E-1,1.282807417E0
1.728742292E0,-1.309007543E0,-5.258412731E-1,-1.539104104E-2,1.410761028E0
1.738746292E0,-1.490771458E0,-9.019268748E-1,4.190874875E-2,1.742879219E0
1.748750292E0,-1.642375288E0,-1.303481779E0,-2.871918440E-2,2.096970702E0
1.758754292E0,-1.757675510E0,-1.649835750E0,-1.336112165E-1,2.414380492E0
1.768758292E0,-1.769041036E0,-1.945759242E0,-2.961959714E-1,2.646359247E0
1.778762292E0,-1.654648009E0,-1.877169940E0,-3.770898610E-1,2.530577756E0
1.788766292E0,-1.624860831E0,-1.944817840E0,-7.519677204E-1,2.643472073E0
1.798770292E0,-1.550848529E0,-2.298693085E0,-1.418630412E0,3.114744501E0
1.808774292E0,-1.347622263E0,-2.520776183E0,-2.088855811E0,3.540298989E0
1.818778292E0,-9.425635618E-1,-2.582047402E0,-2.583269470E0,3.772091728E0
1.828782292E0,-3.926478401E-1,-2.399634446E0,-2.816585069E0,3.720963484E0
1.838786292E0,5.822335750E-2,-2.201852377E0,-3.255132675E0,3.930322198E0
1.848790292E0,3.892359897E-1,-2.067076102E0,-3.734953437E0,4.286512037E0
1.858794292E0,6.276013903E-1,-1.888699772E0,-3.902490783E0,4.380696822E0
1.868798292E0,6.679214506E-1,-1.727589393E0,-4.059626518E0,4.462202555E0
1.878802292E0,6.383428717E-1,-1.523560158E0,-4.229609170E0,4.540739027E0
1.888806292E0,5.848222835E-1,-1.268647868E0,-4.350692727E0,4.569465146E0
1.898810292E0,4.698019968E-1,-1.047977750E0,-4.421675586E0,4.568389899E0
1.908814292E0,2.675554320E-1,-8.362866166E-1,-4.350487490E0,4.438209393E0
1.918819292E0,4.878039658E-3,-6.307262886E-1,-4.186711072E0,4.233956666E0
1.928823292E0,-2.424186905E-1,-5.138939497E-1,-4.014788314E0,4.054797038E0
1.938827292E0,-3.755896117E-1,-3.943663368E-1,-3.782916393E0,3.821916901E0
1.948831292E0,-4.446567768E-1,-2.282612658E-1,-3.556343803E0,3.591295602E0
1.958835292E0,-4.973390204E-1,-4.067586333E-2,-3.350731727E0,3.387684125E0
1.968839292E0,-6.056999132E-1,1.864267766E-1,-2.834440126E0,2.904423894E0
1.978843292E0,-8.637843177E-1,4.028541550E-1,-1.927796010E0,2.150537671E0
1.988847292E0,-1.193983018E0,6.169648665E-1,-8.727039528E-1,1.602452271E0
1.998851292E0,-1.075476913E0,6.801183039E-1,-9.280478489E-1,1.574955335E0
2.008855292E0,-1.488672454E0,7.047847831E-1,4.955854404E-1,1.720020986E0
2.018859292E0,-1.375023778E0,6.230985957E-1,5.825844079E-1,1.618130663E0
2.028863292E0,-1.198927423E0,6.763027033E-1,5.311616546E-1,1.475447395E0
2.038867292E0,-9.437534702E-1,7.949500179E-1,5.045848900E-1,1.333124921E0
2.048871292E0,-7.434516893E-1,9.566565210E-1,5.721412808E-1,1.339872292E0
2.058875292E0,-6.951922797E-1,1.136215743E0,7.405954707E-1,1.524060422E0
2.068879292E0,-5.889837469E-1,1.289503132E0,9.677919585E-1,1.716491030E0
2.078883292E0,-4.444373600E-1,1.380885758E0,1.042615854E0,1.786453991E0
2.088887292E0,-2.414908835E-1,1.449618316E0,1.048080077E0,1.805043754E0
2.098891292E0,-2.123178090E-1,1.482118017E0,1.030102227E0,1.817378130E0
2.108895292E0,-9.099817067E-2,1.540008668E0,1.468269179E0,2.129723397E0
2.118899292E0,3.411104813E-2,1.785380934E0,1.832595738E0,2.558741054E0
2.128903292E0,1.609893420E-1,2.102045960E0,2.130182762E0,2.997030762E0
2.138907292E0,4.096640416E-1,2.445221678E0,2.230339134E0,3.334868264E0
2.148911292E0,8.201583879E-1,2.687942524E0,2.024090881E0,3.463327690E0
2.158915292E0,1.355337518E0,2.536283876E0,1.624023217E0,3.302593995E0
2.168919292E0,1.733908917E0,2.021278663E0,1.341863487E0,2.982047147E0
2.178923292E0,2.485858950E0,2.166245757E0,1.558091183E0,3.646884085E0
2.188927292E0,2.869268482E0,2.087887220E0,1.942491233E0,4.045398232E0
2.198931292E0,2.497495494E0,1.739567707E0,2.587288846E0,3.994701881E0
2.208935292E0,1.076840191E0,7.565457979E-1,2.880353048E0,3.166761757E0
2.218939292E0,8.278261341E-2,3.335968092E-1,3.514923881E0,3.531689353E0
2.228943292E0,-4.270850532E-1,3.321028456E-1,4.358388247E0,4.391838118E0
2.238947292E0,-8.358635706E-1,3.983883440E-2,5.032055318E0,5.101160237E0
2.248951292E0,-1.013321449E0,-3.863477576E-1,5.413296118E0,5.520856800E0
2.258955292E0,-7.895366657E-1,-6.141935787E-1,5.361672220E0,5.454184714E0
2.268959292E0,-3.592533317E-1,-4.264886007E-1,5.123091788E0,5.153350847E0
2.278963292E0,-2.819114428E-2,-3.501078844E-2,4.678456646E0,4.678672577E0
2.288967292E0,2.249173893E-1,2.424635679E-1,3.802887558E0,3.817241175E0
2.298971292E0,1.728257876E-1,1.802418843E-1,3.820622748E0,3.828774487E0
2.308975292E0,7.341234800E-1,7.421052217E-1,1.490825399E0,1.819949948E0
2.318979292E0,1.047974754E0,8.293690681E-1,4.182536745E-1,1.400371476E0
2.328983292E0,9.518884090E-1,7.106167960E-1,4.587766331E-1,1.273398513E0
2.338987292E0,1.456932159E0,7.941284841E-1,-9.985746253E-1,1.936605961E0
2.348991292E0,1.484664480E0,7.287490118E-1,-1.425057671E0,2.183138362E0
2.358996292E0,1.383507649E0,7.327464607E-1,-1.554640156E0,2.206335606E0
2.369000292E0,1.171739917E0,7.236692432E-1,-1.440822934E0,1.993148849E0
2.379004292E0,8.524559221E-1,5.735902208E-1,-1.230666987E0,1.603193087E0
2.389008292E0,5.849294338E-1,2.365993953E-1,-8.455623472E-1,1.055034312E0
2.399012292E0,3.635581615E-1,-1.422607103E-1,-2.763826811E-1,4.783304641E-1
2.409016292E0,1.981486168E-1,-5.283272168E-1,2.269473964E-1,6.081921103E-1
2.419020292E0,7.695182478E-2,-8.480956534E-1,6.985621762E-1,1.101443115E0
2.429024292E0,1.828296427E-3,-1.193162361E0,1.021819062E0,1.570908640E0
2.439028292E0,-4.890797552E-2,-1.480757078E0,1.152196183E0,1.876856297E0
2.449032292E0,-3.713314500E-2,-1.764410479E0,1.106826468E0,2.083167790E0
2.459036292E0,3.650793146E-2,-1.998696131E0,8.498436785E-1,2.172177095E0
2.469040292E0,1.205851184E-1,-2.080537270E0,4.233477688E-1,2.126593388E0
2.479044292E0,1.671977329E-1,-2.063936148E0,-7.153015852E-2,2.071932448E0
2.489048292E0,9.837275214E-2,-1.970068164E0,-4.949001467E-1,2.033659736E0
2.499052292E0,-2.808066845E-2,-1.915775597E0,-8.651762474E-1,2.102264160E0
2.509056292E0,-1.103966741E-1,-1.856858760E0,-1.199821170E0,2.213522694E0
2.519060292E0,-1.175117488E-1,-1.794350270E0,-1.573347738E0,2.389335683E0
2.529064292E0,-6.953943741E-2,-1.760280299E0,-1.900459692E0,2.591364410E0
2.539068292E0,2.550098654E-2,-1.744875224E0,-2.146509358E0,2.766359028E0
2.549072292E0,1.244589719E-1,-1.750978548E0,-2.372267430E0,2.951113124E0
2.559076292E0,2.118877098E-1,-1.728512961E0,-2.569239661E0,3.103811510E0
2.569080292E0,3.151280131E-1,-1.657970982E0,-2.681891533E0,3.168708827E0
2.579084292E0,3.777485499E-1,-1.536417893E0,-2.716806427E0,3.143932421E0
2.589088292E0,3.564543061E-1,-1.452584023E0,-2.703849581E0,3.089961582E0
2.599092292E0,3.724703779E-1,-1.530958348E0,-2.646061549E0,3.079644357E0
2.609096292E0,2.630459131E-1,-1.405782909E0,-2.712406982E0,3.066361097E0
2.619100292E0,3.552001880E-1,-1.291736476E0,-2.709501500E0,3.022606272E0
2.629104292E0,4.887236232E-1,-1.177588887E0,-2.651248614E0,2.941884699E0
2.639108292E0,5.879603745E-1,-1.215518020E0,-2.517726275E0,2.856943657E0
2.649112292E0,6.698510318E-1,-1.309617262E0,-2.351008708E0,2.773272386E0
2.659116292E0,6.932875492E-1,-1.329922888E0,-2.333265333E0,2.773710444E0
2.669120292E0,6.613132198E-1,-1.063944157E0,-2.223693774E0,2.552278657E0
2.679124292E0,6.408956198E-1,-7.681270856E-1,-2.255464620E0,2.467364397E0
2.689128292E0,6.068666520E-1,-4.647671056E-1,-2.239525110E0,2.366382960E0
2.699132292E0,6.437005292E-1,-4.433534324E-1,-2.253003527E0,2.384730075E0
2.709136292E0,5.922263934E-1,-2.477558827E-1,-2.061655734E0,2.159291421E0
2.719140292E0,4.958449106E-1,-2.471197057E-1,-1.809647171E0,1.892552036E0
2.729144292E0,3.942150401E-1,-2.745168346E-1,-1.519769701E0,1.593883601E0
2.739148292E0,3.594871838E-1,-2.748238134E-1,-1.182799340E0,1.266401770E0
2.749152292E0,2.614898960E-1,-1.171308392E-1,-7.784953684E-1,8.295490569E-1
2.759156292E0,1.264825836E-2,1.520638597E-1,-3.216342831E-1,3.559943931E-1
2.769160292E0,-2.785369416E-1,4.940996629E-1,2.214662164E-1,6.089044176E-1
2.779164292E0,-5.629919963E-1,8.881213063E-1,8.287650508E-1,1.338869281E0
2.789168542E0,-8.802525620E-1,1.377516884E0,1.480149552E0,2.205275501E0
2.799172542E0,-1.261737190E0,1.809707982E0,1.983221183E0,2.966511415E0
2.809176542E0,-1.515419665E0,2.239794667E0,2.171802074E0,3.468414790E0
2.819180542E0,-1.619192394E0,2.610501707E0,2.059858884E0,3.698583755E0
2.829184542E0,-1.752284085E0,2.773307487E0,1.865882767E0,3.774023375E0
2.839188542E0,-2.020738234E0,2.645827076E0,1.848204296E0,3.807839682E0
2.849192542E0,-2.426647559E0,2.189378219E0,2.196729339E0,3.937970943E0
2.859196542E0,-2.877677363E0,1.409634470E0,2.810258966E0,4.262118229E0
2.869200542E0,-3.220015467E0,4.830110031E-1,3.408333818E0,4.713654490E0
2.879204542E0,-3.390969634E0,-3.174546933E-1,3.995026479E0,5.249732289E0
2.889209542E0,-3.360056866E0,-8.319240090E-1,4.566968955E0,5.730557140E0
2.899213542E0,-3.221696249E0,-7.487336254E-1,4.560863292E0,5.633950899E0
2.909217542E0,-3.011789393E0,-1.088426157E0,5.087360038E0,6.011387444E0
2.919221542E0,-2.808118008E0,-8.819732514E-1,4.811272057E0,5.640189923E0
2.929225542E0,-2.615524758E0,-4.883132583E-1,4.222447500E0,4.990839858E0
2.939229542E0,-2.427432402E0,-8.780383676E-2,3.299710093E0,4.097343563E0
2.949233542E0,-2.263173881E0,2.499447879E-1,2.146774821E0,3.129388207E0
2.959237542E0,-2.087473530E0,4.438244256E-1,9.197693610E-1,2.323897918E0
2.969241542E0,-1.947014639E0,5.432142279E-1,-2.643900418E-1,2.038590149E0
2.979245542E0,-1.761316718E0,6.000292835E-1,-1.311165605E0,2.276274800E0
2.989249542E0,-1.639021617E0,5.735282403E-1,-1.862860342E0,2.546679241E0
2.999253542E0,-1.641048847E0,4.898575079E-1,-1.812162643E0,2.493378259E0
3.009257542E0,-1.559974863E0,2.519746488E-1,-1.675633666E0,2.303206673E0
3.019261542E0,-1.425172569E0,1.945953369E-3,-1.395553790E0,1.994665641E0
3.029265542E0,-1.334157734E0,-2.818328708E-1,-1.046477355E0,1.718872153E0
3.039269542E0,-1.255494849E0,-5.818184227E-1,-8.406541944E-1,1.619098350E0
3.049273542E0,-1.085609553E0,-8.552628779E-1,-7.548328561E-1,1.574736592E0
3.059277542E0,-8.706930953E-1,-1.041394370E0,-8.419891137E-1,1.597358560E0
3.069281542E0,-6.117596751E-1,-1.219924482E0,-1.001964841E0,1.693044354E0
3.079285542E0,-3.284650004E-1,-1.359458343E0,-1.198186873E0,1.841648182E0
3.089289542E0,-5.540324539E-2,-1.433764760E0,-1.447324453E0,2.038013488E0
3.099293542E0,-8.897240281E-2,-1.485765218E0,-1.421110216E0,2.057903938E0
3.109297542E0,4.280936614E-1,-1.485507941E0,-1.887667154E0,2.439935513E0
